old_sha	new_sha	subject
85573f396f09b71eee0e8848bdbddb54ec87c2fc	488a0aa96ac5de805348635b27036addf15cddc2	Initial commit
862485494be1f03cee6c1baa41fd7dcb36e7363c	27b600b1468fb6af337d1b80338644790545f14f	feat: scaffold abcd-cli — Go rebuild foundation
70f795dce5dee68695fea7ab693fb6f7794cc69b	5a0aa2c69a95e245c6f9e592e063747ac8ed6032	ci: run gitleaks and zizmor as pinned CLI steps
091dbcaa9a7339c4e39cf0abef4ed294b20e3e76	6ceb39ac2d98df3e3b7701c98853616a4827ed5d	ci: pin zizmor image by digest
246ce00398a2f76561b89b780fe15e4e741abfa6	9cd59304f10cf2bd5d40800f2d4d21dd1ea729ee	Merge pull request #1 from REPPL/chore/phase-0-scaffold
20e15ea2e22c7e84c91ae40e8972dcc7b4fa3914	157e3ac1f76a4dc57e053bcd9406bb53fd2d91a7	refactor: restructure design record into flat artefact-type folders
4defad67bf6928930a7a0c45d371f90435dad05b	2ceab9cbe1273c95afa034b2ef7ad43592154cf9	Merge pull request #2 from REPPL/refactor/phase-0.5a-record-structure
29a7f7880adbf0e3200accbcd6f4cd9c45ed5b25	ad25573e3717686bca8ec7829e58d32bc0b0db34	chore: add local branch-protection guard to pre-push hook
aedd123e0fb9b272194c4d2514a8b720e9db6ec3	3fa9acf47077ea0054b9ef7e33fe75128d6096b1	Merge pull request #3 from REPPL/chore/pre-push-branch-protection
9b4e1e5c41f0649278e99fbecaac232e50ff1d12	1fa14ded45371923f7af87763bebb3057c4ad621	docs(reviews): add plan-consistency review of .abcd/ and docs/
737c02788c39c64da612e957917509f41606458d	7eb30b035f55a38e1fb226b824dd63e7df9e3c5b	refactor: rename ADRs to 4-digit NNNN filenames
ca564f1c7dab16ca2d80cb6eafe35d5cfc8345e4	e54e4947e128b5310361eb91261fc2575dd93608	docs: reconcile decision record to the Go rebuild
89f8321b7bab27045f56d8b3226bef3edbc47b6b	d968495a0f25f23fd0e138a2468fcae245cdf7d4	docs: reconcile brief to the Go rebuild
426be533a408b538aa7ce167d84a049a8cd329e1	2e57c8a26ee9473493277877456a75bfca425d5f	docs: reconcile intents to the Go rebuild
87c81fc14d6a2e6ed35d22264c497bc3cb2c0311	5ae72d5847ff5076d8fc725559cc6498e9bc8d14	docs: reconcile roadmap to the Go rebuild
3ebf7dc119bfa05a078afa8af62143cc23c25e27	1451cc7e73d7d92f366dbe2c064c134268778a18	docs: promote Go-rebuild plan and record-IA SOTA note
c2e2a375afe0e09c8d747b22b9a0844cafbe9948	97fba95018c2f9e9c367291de2ec72f90aa24279	docs: resolve ADR cross-links to relocated intents
ae42e1ea52c6ea229c62a0e595c5ccdaa537d5a3	2dc4272d6f138077c261b0ead36ff2fff66e192f	Merge pull request #4 from REPPL/refactor/phase-0.5b-record-reconciliation
9461ae184834c143784ce7f8290738418d3e541f	ea0dc9b85618f61dd87519e37b5b46fe165f9a5b	feat: enforce the reviews-folder charter deterministically (RD001-RD003)
87b42edd245ac5fa96cbafcd05446664e521aed8	ec03a65191ffe00d5f373759a490f16325412734	Merge pull request #5 from REPPL/feat/review-charter-lint
dcfd6799c9593ce354d6c72310a830542daa5acd	945d366103545f9498248f64fbb7b341805307ef	docs: Phase 0.5 mechanical record hygiene (frontmatter, paths, dead links) (#6)
e0473032dab24ec367ff9e030518a56e5aa8aae6	50a3e2a9c44ea23f2a9bd1c503bd1808c0fbad2e	docs: reconcile 12 surviving brief contradictions (F1–F12) (#7)
1751cf57eed2dd7c28b62ff4120e783a4e21bb94	221e7e291860724406ffd6195c58ce112ee78a8c	docs: add READMEs for 16 uncovered record directories (#8)
ffa28d2b5a52c42d33a8b0780b5807e9c2a1e99b	baf9b94998ef456114af9360024281e876f77a69	docs: collapse ahoy to repo-only; finish single-repo reconciliation (third wave) (#9)
f5c18a6a24939a28ec9fbf488681d708c8f0e4d6	011e837e6fd22807cdeb812ad2f21f8d43745a6e	feat: record-lint deterministic drift gate (internal/core/lint) (#10)
7478e6a5d866c372719033f8395305d3df7e65d8	0b40b5c8bc0218b8aaddf345bdf5c5e2772b09e3	docs: prune historical artefacts from the design record (#11)
117f8a04fe1a17a7f4341b1a6a3ce9a6fb9cab70	7502426f69d7ff8bcee04f24b4933d30aabdb7a2	refactor: rename spec-id prefix fn- to spc- (retire flow-next) (#13)
8648309274ed9aaafccaf52fb632856d4c77b341	df9f2e7bda15e6b49c15f7b0583328c47693fb6d	refactor: re-baseline the intent lifecycle to the Go build (#14)
08bffa2662f6936b5bd9a2c4ea7bfc9a76f8d82b	e30e89c3de643ed5a0ebc0103c31f937c4492fc2	docs: reconcile terminology drift and arm the record-lint gate (#15)
a4cbc42b8e52bbab1d6328ce098f2e50a0f3c288	a597364ebf0ae085cf2ee3bc01eea149a69718a2	docs: add derived-versioning intent (itd-73) and ADR-31 (#16)
9a3d1263dc77b7b0c9dc04bebea4828bcf334b64	1894ab715933e2e7479b07d994eba70d6ddf30c6	feat: Phase 1 — abcd ahoy install + launch dry-run (Go) (#17)
b9fca093b61e4aa3fdaa84109789cd300957de3a	e6f624044e9dfd73905ef49745930d11ca78385f	docs: name the deterministic docs-currency lint layer in itd-60 (#18)
8801cd1dab149e0626c663043ec94cade8593d23	7f7f58cef89be98f39d24f45e5937715aa6f5250	feat: itd-60 layer 1 — deterministic docs-currency lint (#19)
91ed8e712fc6c08d44f57615483a543e3dffc6c5	5af8569c93e918b55210bc5ce5b04ae06489af42	docs: adopt abcd branding in the README (logo, comic, badges) (#20)
f4450334a3d53c5a510f29f6be853219479ff8ee	3474bcdc56a76826738435cc3363229419098ca8	feat: Phase 2 — native history store + capture ledger + memory (Go) (#21)
3e25923a3e7b639de0e7b9790f7d86a9f3ebac53	f29fc1a36ef6efdba1f6a6c28920935f331cd996	chore: add tag-triggered release workflow; cut v0.1.0 changelog (#22)
d77e69a5b3468b4eb29fd12ffec70af89f5eff3a	a00f489643f40fe269f85625f1fa9eeb0b00946a	Update README to remove plugin references (#23)
4bfc162f29260e15bc7f2d9396463a07a7e95e7d	bebc422420333221149f53139ba5541062685903	docs: generalise host references to keep the surface harness-agnostic (#24)
c5772930346f6c04e594e3361c8021b0a0650262	b0a8dbbc32f8aa357d64e9b582ea8148ec3a41bf	feat: harness-name prevention gate + name-banlist intent (itd-74)
4f067a6f923a1854e0e81d030a36a2c2f6c42acc	5fe371140193d9db67456264401910bf0067a5ef	Merge pull request #1 from REPPL/feat/harness-name-prevention-gate
df70c609c2b9249b839526266c54722b040d70bf	ba4f5ea5ceb41bbb4cdbac86e2e60efddb9dd17c	feat: self-discovering CLI smoke harness (evals/) + eval intent (itd-75)
38b89466a9bd389bd4cc3357f8d6517c84bfdac0	bf9cce11ff9c6b20b407bb3f25cbd999cea18fed	Merge pull request #2 from REPPL/feat/smoke-harness
b62859fd85d43c758622f8dd9bb1ed8a235bbe85	b4d63d900713e85b0f28e171f3d72f03ea1d224a	docs: acknowledgements, AI-attribution policy, badge fix (#3)
4c4bf7f3994ecbcecbcf91653f49dfa9312aead3	20fa17f2b3abec949f8f321a7bbb08724e09a7c6	feat: dependency-aware capture ledger in the work tier (ADR-32) (#4)
be8ca371c991eca3842ac33d1f2f231ad85bee08	4fe330a73e2e9976d7da72261b459e97ebe437cf	docs: drain the roadmap-consistency triage backlog (iss-1..iss-15) (#5)
87afbb64929c76b62b89627944b0f0071472cb31	37b0bc3899ef938828861cf7714dfee9d85f04e3	docs: sources provenance design + intent governance sweep (#6)
12f0c15f41e6034d4c41a22301e1c61222f3e14f	52cefbd17be83bdf86e334325657dbe6ed1c2d46	chore: capture intent-sweep follow-up anomalies as iss-16..iss-23 (#7)
